Fecha;NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);PM2.5(µg/m³)
2020-03-29;6;9;13;18;11
2020-04-01;5;10;4;18;2
2020-04-04;4;12;13;18;11
2020-04-06;5;14;16;21;15
2020-04-08;8;20;20;32;18
2020-04-09;7;18;20;30;17
2020-04-13;5;9;14;16;13
2020-04-20;7;16;6;26;5
2020-04-21;9;23;4;36;3
2020-04-28;8;14;4;26;3
2020-04-29;9;17;4;31;2
2020-04-30;9;15;5;29;2
2020-05-01;6;7;3;17;1
2020-05-05;10;23;4;38;2
2020-05-10;5;6;1;13;1
2020-05-14;5;14;9;22;6
2020-05-15;8;17;12;29;7
2020-05-16;5;11;11;19;7
2020-05-20;7;18;19;28;11
2020-05-22;7;20;21;32;15
2020-05-24;5;6;;13;
2020-05-25;8;18;22;30;9
2020-06-03;7;23;17;33;10
2020-06-04;6;20;26;30;16
2020-06-05;7;19;18;29;11
2020-06-06;6;19;22;28;14
2020-06-07;5;8;;15;
2020-06-09;8;16;5;27;2
2020-06-10;7;14;3;25;1
2020-06-11;8;17;9;29;3
2020-06-16;6;17;14;27;7
2020-06-23;8;21;14;34;8
2020-06-24;6;16;13;25;7
2020-06-26;7;27;13;37;6
2020-06-27;6;20;14;29;8
2020-06-29;8;22;22;35;13
2020-07-01;13;30;30;50;13
2020-07-04;8;17;19;29;10
2020-07-05;7;18;14;29;8
2020-07-06;15;42;34;65;11
2020-07-09;15;34;26;58;9
2020-07-14;10;33;26;48;11
2020-07-19;7;15;11;25;6
2020-07-25;7;22;12;32;6
2020-07-26;6;15;12;25;7
2020-07-30;11;31;18;47;10
2020-08-01;7;27;21;38;13
2020-08-02;7;19;17;29;11
2020-08-04;16;25;9;49;5
2020-08-11;7;25;;35;
2020-08-12;9;34;;48;
2020-08-17;11;33;6;49;5
2020-08-24;8;24;4;36;4
2020-08-26;9;27;5;40;4
2020-08-30;8;18;2;31;2
2020-09-06;9;24;4;37;4
2020-09-10;11;40;6;56;5
2020-09-12;7;25;6;35;6
2020-09-17;13;34;14;54;13
2020-09-20;9;17;3;31;3
2020-09-21;18;32;4;60;4
2020-09-22;14;30;6;50;5
2020-09-24;24;30;4;67;4
2020-09-25;9;18;3;31;2
2020-09-30;14;36;4;57;3
2020-10-01;18;44;6;71;6
2020-10-06;21;50;3;82;3
2020-10-11;5;9;2;17;2
2020-10-18;6;25;4;34;4
2020-10-19;12;42;4;60;3
2020-10-21;21;68;7;100;7
2020-10-26;12;25;1;43;1
2020-10-27;16;37;3;61;2
2020-10-28;16;52;4;76;4
2020-10-31;13;41;10;61;9
2020-11-04;6;20;2;28;1
2020-11-06;6;20;6;28;6
2020-11-15;11;24;5;40;5
2020-11-18;15;49;11;73;11
2020-11-23;24;58;7;94;6
2020-11-25;33;69;11;120;11
2020-12-05;6;33;3;42;2
2020-12-15;29;29;5;73;5
2020-12-16;41;37;6;100;6
2020-12-27;10;17;4;33;4
2020-12-30;15;19;3;42;2
2021-01-02;5;8;2;15;2
2021-01-06;;;6;;5
2021-01-07;;;6;;5
2021-01-11;26;24;6;64;6
2021-01-13;35;31;9;85;9
2021-01-17;9;16;6;30;6
2021-01-19;32;27;9;76;9
2021-01-20;54;33;12;116;12
2021-01-21;10;12;2;27;1
2021-01-23;7;8;2;18;1
2021-01-27;68;24;5;129;4
2021-02-05;9;14;9;27;9
2021-02-06;12;12;7;31;7
2021-02-08;11;11;2;28;1
2021-02-16;25;25;20;64;19
2021-02-18;12;19;61;37;60
2021-02-20;7;10;44;20;43
2021-02-21;6;9;27;18;25
2021-02-27;9;14;43;27;42
