objectid;nombre;direccion;tipozona;parametros;mediciones;so2;no2;o3;co;pm10;pm25;tipoemisio;fecha_carg;calidad_am;fiwareid;longitude;latitude;geometry_type;geo_point_lon;geo_point_lat;Fecha;Identificador
13;;;;;;1.0;42.0;69.0;0.0;15.0;9.0;;;;;-0.342986232422652;39.45782688751831;;-0.342986232422652;39.45782688751831;2025-08-05 20:35:17;
13;;;;;;1.0;42.0;69.0;0.0;15.0;9.0;;;;;-0.342986232422652;39.45782688751831;;-0.342986232422652;39.45782688751831;2025-08-05 20:44:11;
13;;;;;;1.0;42.0;69.0;0.0;15.0;9.0;;;;;-0.342986232422652;39.45782688751831;;-0.342986232422652;39.45782688751831;2025-08-05 20:53:28;
13;;;;;;1.0;42.0;69.0;0.0;15.0;9.0;;;;;-0.342986232422652;39.45782688751831;;-0.342986232422652;39.45782688751831;2025-08-05 21:02:38;
13;;;;;;1.0;42.0;69.0;0.0;15.0;9.0;;;;;-0.342986232422652;39.45782688751831;;-0.342986232422652;39.45782688751831;2025-08-05 21:11:34;
13;;;;;;1.0;42.0;69.0;0.0;15.0;9.0;;;;;-0.342986232422652;39.45782688751831;;-0.342986232422652;39.45782688751831;2025-08-05 21:20:10;
13;;;;;;1.0;42.0;69.0;0.0;15.0;9.0;;;;;-0.342986232422652;39.45782688751831;;-0.342986232422652;39.45782688751831;2025-08-05 21:28:43;
13;;;;;;1.0;43.0;66.0;0.0;15.0;9.0;;;;;-0.342986232422652;39.45782688751831;;-0.342986232422652;39.45782688751831;2025-08-05 21:37:20;
13;;;;;;1.0;43.0;66.0;0.0;15.0;9.0;;;;;-0.342986232422652;39.45782688751831;;-0.342986232422652;39.45782688751831;2025-08-05 21:46:33;
13;;;;;;1.0;43.0;66.0;0.0;15.0;9.0;;;;;-0.342986232422652;39.45782688751831;;-0.342986232422652;39.45782688751831;2025-08-05 21:55:29;
13;;;;;;1.0;43.0;66.0;0.0;15.0;9.0;;;;;-0.342986232422652;39.45782688751831;;-0.342986232422652;39.45782688751831;2025-08-05 22:04:12;
13;;;;;;1.0;43.0;66.0;0.0;15.0;9.0;;;;;-0.342986232422652;39.45782688751831;;-0.342986232422652;39.45782688751831;2025-08-05 22:12:59;
13;;;;;;1.0;33.0;61.0;0.0;15.0;9.0;;;;;-0.342986232422652;39.45782688751831;;-0.342986232422652;39.45782688751831;2025-08-05 22:22:08;
13;;;;;;1.0;33.0;61.0;0.0;15.0;9.0;;;;;-0.342986232422652;39.45782688751831;;-0.342986232422652;39.45782688751831;2025-08-05 22:28:58;
13;;;;;;1.0;33.0;61.0;0.0;15.0;9.0;;;;;-0.342986232422652;39.45782688751831;;-0.342986232422652;39.45782688751831;2025-08-05 22:34:56;
13;;;;;;1.0;33.0;61.0;0.0;15.0;9.0;;;;;-0.342986232422652;39.45782688751831;;-0.342986232422652;39.45782688751831;2025-08-05 22:42:27;
